cell_id,int_mean,int_mem_mean,cell_area,cell_edge
1,45.65185185185185,89.85714285714286,1350,126
2,55.141110065851365,117.09821428571429,1063,112
3,45.19132473622509,92.08984375,4265,256
4,43.14208333333333,104.47928994082841,2400,169
5,35.132607619990104,71.71428571428571,4042,224
6,49.25053686471009,103.07389162561576,2794,203
7,50.92435788879481,112.87782805429865,3543,221
8,50.861111111111114,122.2867132867133,1656,143
9,57.18515037593985,111.8425925925926,1064,108
10,41.09012715033658,92.26775956284153,2674,183
11,43.64098671726755,102.6243654822335,2635,197
12,48.790252930289945,104.12435233160622,3242,193
13,53.06100217864924,66.10714285714286,459,84
14,71.20956937799043,107.4308943089431,1045,123
15,62.08730158730159,102.21232876712328,1638,146
16,64.1,64.1,20,20
17,47.6781905744754,109.02027027027027,5814,296
18,58.35973229224763,126.14906832298136,1793,161
19,53.40046029919448,124.05442176870748,1738,147
20,40.51806302843966,67.71774193548387,1301,124
21,63.91504854368932,88.60714285714286,2060,168
22,61.34885764499121,109.4090909090909,3414,286
23,50.3525317974562,116.58823529411765,4167,238
24,32.08815520762423,87.15083798882682,2938,179
25,78.05308464849354,105.68604651162791,697,86
26,51.4231994901211,87.63333333333334,1569,150
27,52.58991125642223,124.42105263157895,2141,171
28,60.68929992975884,138.66666666666666,4271,234
29,40.0,40.0,11,11
30,73.80203784570597,108.47916666666667,687,96
31,53.256068538791055,123.1547619047619,4202,252
32,50.82837370242215,109.8716577540107,2890,187
33,56.283964062074595,162.385,3673,200
34,88.73333333333333,87.90625,45,32
35,61.15551948051948,111.86206896551724,3080,203
36,44.5034188034188,93.25221238938053,3510,226
37,69.85960193652501,146.83221476510067,1859,149
38,45.28564727954972,90.17391304347827,2132,161
39,64.7983651226158,152.90277777777777,1835,144
40,65.4967074317968,100.85470085470085,1063,117
41,58.505303760848605,120.42105263157895,2074,152
42,98.87717121588089,138.8495575221239,806,113
43,62.88913043478261,122.3825,6900,400
44,81.93539325842697,126.61538461538461,712,104
45,63.33016304347826,138.0212765957447,2944,188
46,71.16228070175438,166.125786163522,1824,159
47,42.46120020693223,88.83620689655173,3866,232
48,65.68092485549133,131.21621621621622,2595,185
49,45.908018049288444,127.92227979274611,2881,193
50,82.57306809487376,165.8048780487805,1307,123
51,62.45154280747501,138.37142857142857,2301,175
52,67.4100642398287,95.95575221238938,934,113
53,59.73152812762385,111.14642857142857,4764,280
54,59.383289817232374,146.8695652173913,1915,161
55,56.33222738332228,107.2375478927203,4521,261
56,67.03566333808844,153.6358024691358,2103,162
57,70.4588693957115,165.52380952380952,2565,189
58,75.34785238959468,142.23529411764707,1653,136
59,65.79604178119845,160.39455782312925,1819,147
60,64.63362831858407,145.07638888888889,1695,144
61,82.34578043315908,172.3409090909091,1339,132
62,69.21625544267054,131.4251968503937,1378,127
63,63.354609929078016,157.84117647058824,2115,170
64,74.7088948787062,134.0463917525773,2597,194
65,58.666666666666664,58.666666666666664,3,3
66,60.77766749379653,142.53658536585365,2015,164
67,74.5251798561151,146.54014598540147,1529,137
68,46.124691696355164,109.81188118811882,3649,202
69,85.63761018609206,135.25,1021,120
70,62.10857828434313,146.21374045801528,1667,131
71,52.90299438552714,104.35678391959799,3206,199
72,69.49128540305011,163.23809523809524,1836,147
73,70.35846372688478,117.05839416058394,1406,137
74,53.26010716025329,96.90566037735849,2053,159
75,68.55245189323402,173.22627737226279,1611,137
76,69.28320802005013,147.73972602739727,1596,146
77,63.90819542947202,116.88144329896907,2538,194
78,72.15761821366024,133.77358490566039,1713,159
79,60.20497311827957,131.5929648241206,2976,199
80,71.27055555555556,115.12101910828025,1800,157
81,61.65769739744155,152.02994011976048,2267,167
82,61.05869275233437,139.74698795180723,2249,166
83,59.51733833177132,123.5,2134,160
84,57.16,108.83941605839416,1450,137
85,67.48971783835485,148.30967741935484,2091,155
86,51.13721035892776,115.49714285714286,2201,175
87,59.27686403508772,143.0205479452055,1824,146
88,61.911752227407725,155.9298245614035,2357,171
89,56.79269642198451,120.58333333333333,2711,192
90,54.89360465116279,128.98561151079136,1720,139
91,61.09828788839569,144.8951048951049,1577,143
92,59.52357113057989,134.40721649484536,2397,194
93,60.40825459970164,123.12987012987013,2011,154
94,55.55958096900917,123.42134831460675,2291,178
95,68.81120491174214,134.38333333333333,1303,120
96,78.41028858218318,125.5233644859813,797,107
97,71.30321285140562,159.6158940397351,1992,151
98,54.94012282497441,129.55844155844156,1954,154
99,64.52590827873735,115.5912408759124,1679,137
100,58.44078646547782,153.50632911392404,2187,158
101,74.36358605423354,143.7687074829932,1807,147
102,81.55764473033152,144.3986928104575,2021,153
103,61.61482492041837,140.45333333333335,2199,150
104,59.570281124497996,121.51748251748252,1743,143
